lake	season	year	status	surroundings	la	da	vol	da:vol	da:la	dp	slope	perimeter	dmean	dmax	nf	aa	rainfall	temp	secchi	zmix	kd	zeu	ph	chl-a	tss	nt	pt	doc	cdom	a254	a440	sr	suva	s275	s350	bv
GAM	rainy 13	2013	protected	AF	0,1	0,35	0,51	0,69	3,50	1,28	8,83	1,45	5,1	10,3	82,49	0	0	29,94	2	6,4561	0,75	6,15	6,72	1,69	6,2	235,1	16,52	6,07	7,64596	10,08714	0,5834	1,371750742	1,661254941	0,028821978	0,02101109	0,0062952
GAM	rainy 13	2013	protected	AF	0,1	0,35	0,51	0,69	3,50	1,28	8,83	1,45	5,1	10,3	82,49	0	0	29,94	1,5	6,4561	0,74	6,17	6,7	1,13	4,4	254,4	15,69	5,72	6,555873333	8,76675	0,4145	1,464102736	1,53157815	0,030541919	0,020860503	0,0062952
GRA	dry 12	2012	unprotected	P	1,68	22,41	NA	NA	13,34	2,08	13,13	9,64	NA	11,35	7,43	NA	22	23,16	2	7,5	1,09	4,25	7,21	4,79	16,4	227,3	38,37	7,63	11,60712	14,03295	0,4299	1,295918615	1,839180428	0,024623883	0,019001103	0,00055626
GRA	dry 12	2012	unprotected	P	1,68	22,41	NA	NA	13,34	2,08	13,13	9,64	NA	11,35	7,43	NA	31,6	23,16	1,8	7,5	1,14	4,05	8,06	4,79	6,8	200	15,69	4,77	12,09842667	14,87738	0,6448	1,368731744	3,118947589	0,022880542	0,016716601	0,00055626
GRA	rainy 13	2013	unprotected	P	1,68	22,41	NA	NA	13,34	2,08	13,13	9,64	NA	11,35	7,43	NA	0	28,55	1,64	0,75	1,35	3,42	7,49	1,13	1,11	258,9	29,99	6,02	12,03701333	14,95415	0,8291	1,146531937	2,484490225	0,021269924	0,018551532	0,008813
GRA	rainy 13	2013	unprotected	P	1,68	22,41	NA	NA	13,34	2,08	13,13	9,64	NA	11,35	7,43	NA	0	29,27	1,17	6,2153	1,65	2,8	7,49	0,84	5,14	357	16,48	8,09	15,15374	18,70036	NA	1,101831411	2,312969697	0,02070508	0,018791513	0,0029932
JAC	rainy 12	2012	unprotected	S	1,27	9,18	4,23	2,17	7,23	3,02	12,2	12,14	3,330708661	9,38	71,43	0,48	46,2	30,14	3	4,20	0,87	5,29	6,95	5,63	15,2	517,1	2,96	5,09	12,97356667	16,121	0,6141	1,336451324	3,170304818	0,022992782	0,017204354	0,0059654
JAC	rainy 12	2012	unprotected	S	1,27	9,18	4,23	2,17	7,23	3,02	12,2	12,14	3,330708661	9,38	71,43	0,48	46,2	29,77	1,64	5,27	0,92	4,97	6,87	4,22	15,2	368,2	3,75	4,65	13,15780667	16,36665	0,7063	1,405995042	3,519710394	0,023037454	0,01638516	0,0050645
JAC	dry 12	2012	unprotected	S	1,27	9,18	4,23	2,17	7,23	3,02	12,2	12,14	3,330708661	9,38	71,43	0,48	0,4	23,37	2,4	10,00	0,74	6,3	7,59	3,94	6	391,5	28,88	5,92	11,66853333	14,41678	0,6602	1,503261698	2,436501606	0,023718574	0,015778074	0,00060415
JAC	dry 12	2012	unprotected	S	1,27	9,18	4,23	2,17	7,23	3,02	12,2	12,14	3,330708661	9,38	71,43	0,48	0,8	23,6	2,3	10,00	0,76	6,07	7,35	4,51	6	398,1	34,39	5,79	11,92954	14,80061	0,5988	1,4544513	2,556237191	0,023754298	0,016332137	0,00012203
JAC	rainy 13	2013	unprotected	S	1,27	9,18	4,23	2,17	7,23	3,02	12,2	12,14	3,330708661	9,38	71,43	0,48	0	29,29	1,97	6,75	0,92	4,99	7,22	0,84	0,72	360,3	23,84	7,36	17,51815333	21,40255	0,5527	1,569877977	2,90716472	0,020213368	0,012875757	0,005315
JAC	rainy 13	2013	unprotected	S	1,27	9,18	4,23	2,17	7,23	3,02	12,2	12,14	3,330708661	9,38	71,43	0,48	0	29,52	1,93	7,175	0,89	5,14	7,52	0,84	2,54	357,7	22,86	8,08	18,68500667	22,73829	NA	1,810705914	2,815189633	0,020080036	0,011089618	0,0069766
PAT	rainy 12	2012	protected	AF	1,1	5,3	4,65	1,14	4,82	2,57	10,65	9,62	4,227272727	10,38	78,04	0	34,2	30,4	2,9	2,80	0,99	4,63	6,99	3,94	2	309	1,06	4,07	23,21424	28,26549	1,3972	1,055496857	6,949959839	0,017320993	0,016410274	0,0053402
PAT	rainy 12	2012	protected	AF	1,1	5,3	4,65	1,14	4,82	2,57	10,65	9,62	4,227272727	10,38	78,04	0	46	30,06	3,46	4,08	0,91	5,07	7,22	4,51	2	342,1	5,37	6,81	23,76696	28,98709	1,4893	1,136295485	4,257798668	0,018034359	0,015871188	0,0045523
PAT	dry 12	2012	protected	AF	1,1	5,3	4,65	1,14	4,82	2,57	10,65	9,62	4,227272727	10,38	78,04	0	0,4	23,38	2,1	10,50	0,84	5,51	7,1	3,1	5,2	425,5	31,56	5,63	25,37906	30,59919	2,0266	1,121523575	5,431166726	0,015801212	0,014089059	0,0033138
PAT	dry 12	2012	protected	AF	1,1	5,3	4,65	1,14	4,82	2,57	10,65	9,62	4,227272727	10,38	78,04	0	14,6	23,66	2,8	10,50	0,84	5,47	7,19	5,63	5,2	374,3	20,64	3,18	20,57346667	25,08735	1,1669	1,138076894	7,889102725	0,018640664	0,01637909	0,0001503
PAT	rainy 13	2013	protected	AF	1,1	5,3	4,65	1,14	4,82	2,57	10,65	9,62	4,227272727	10,38	78,04	0	2,6	30,33	2,75	7	0,72	6,38	7,53	1,13	0,95	274,5	30,73	5,37	14,90808667	18,68501	NA	1,225541738	3,482759863	0,022530713	0,018384289	0,0014568
PAT	rainy 13	2013	protected	AF	1,1	5,3	4,65	1,14	4,82	2,57	10,65	9,62	4,227272727	10,38	78,04	0	33,8	30,33	3,25	7	0,78	5,86	6,75	0,56	1,13	262,7	12,5	4,94	14,95414667	18,82319	NA	1,277989237	3,811133158	0,02283529	0,01786814	0,0014568
SIL	rainy 12	2012	unprotected	S	4,6	61,34	19,7	3,11	13,33	3,76	11,88	28,81	4,282608696	14,29	34,1	53,87	398,8	29,35	1,8	3,75	0,86	5,36	8,05	9,01	4,8	343,4	41,47	3,84	20,97265333	25,36371	1,566	1,198917429	6,606852479	0,018571249	0,015490015	0,0060676
SIL	rainy 12	2012	unprotected	S	4,6	61,34	19,7	3,11	13,33	3,76	11,88	28,81	4,282608696	14,29	34,1	53,87	25,2	29,43	1,3	3,86	0,96	4,81	7,98	2,53	3,6	344,5	37,81	5,83	20,68094	24,96452	2,0266	1,328762692	4,285754506	0,018751346	0,014111885	0,0053561
SIL	dry 12	2012	unprotected	S	4,6	61,34	19,7	3,11	13,33	3,76	11,88	28,81	4,282608696	14,29	34,1	53,87	3,2	24,04	1,2	8,50	0,99	4,68	7,03	12,95	10,8	459,2	38,78	4,82	19,02278	22,93788	1,3664	1,117160597	4,758896266	0,017121737	0,015326119	1,63E-05
SIL	dry 12	2012	unprotected	S	4,6	61,34	19,7	3,11	13,33	3,76	11,88	28,81	4,282608696	14,29	34,1	53,87	0,6	23,71	1,16	8,50	0,91	5,12	7,52	10,42	5,6	485,4	25,69	4,82	14,60102	18,10158	0,7677	1,277117825	3,75941433	0,021397597	0,016754599	0,00012642
SIL	rainy 13	2013	unprotected	S	4,6	61,34	19,7	3,11	13,33	3,76	11,88	28,81	4,282608696	14,29	34,1	53,87	0	30,2	1,54	5,165	0,95	4,84	8,02	1,69	2,83	326,3	147,78	6,81	7,123946667	18,26409	NA	1,293598141	2,681164205	0,027522445	0,021275885	0,0023741
SIL	rainy 13	2013	unprotected	S	4,6	61,34	19,7	3,11	13,33	3,76	11,88	28,81	4,282608696	14,29	34,1	53,87	2	30,2	1,45	5,165	0,97	4,72	7	0,84	11,4	358,5	108,85	7,65	4,774886667	15,4842	NA	1,252159286	2,024343434	0,030366272	0,024251125	0,0023741
STH	rainy 12	2012	protected	AF	0,92	3,59	5,38	0,67	3,90	2,27	9,9	7,77	5,847826087	9,74	75,33	0	34,2	30,98	2	4,75	0,64	7,19	8,03	6,19	2,4	204,1	27,5	6,5	6,81688	8,5211	0,5681	1,615650963	1,31174569	0,023007944	0,014240665	0,0054084
STH	rainy 12	2012	protected	AF	0,92	3,59	5,38	0,67	3,90	2,27	9,9	7,77	5,847826087	9,74	75,33	0	46	30,92	2,4	4,75	0,64	7,21	7,91	3,94	1,2	198,2	12,17	6,12	6,6787	8,47504	0,3838	1,632025411	1,384131961	0,025142984	0,015406	0,0043739
STH	dry 12	2012	protected	AF	0,92	3,59	5,38	0,67	3,90	2,27	9,9	7,77	5,847826087	9,74	75,33	0	0,4	24,12	2	13,50	0,59	7,9	7,25	6,76	NA	310	27,77	3,19	8,24474	10,20997	0,5988	1,318273248	3,202624425	0,018914466	0,01434791	0,0011302
STH	dry 12	2012	protected	AF	0,92	3,59	5,38	0,67	3,90	2,27	9,9	7,77	5,847826087	9,74	75,33	0	14,6	24,52	2,7	13,50	0,62	7,67	7,73	5,07	NA	294,7	18,74	1,67	4,252873333	5,45043	0,1228	1,410278335	3,263732535	0,027500794	0,01950026	5,09E-05
STH	rainy 13	2013	protected	AF	0,92	3,59	5,38	0,67	3,90	2,27	9,9	7,77	5,847826087	9,74	75,33	0	2,6	31,02	2,85	7,7612	0,42	11,17	7,42	0,84	1,94	162,3	36,19	3,45	15,04626667	9,6582	NA	1,413873961	2,797047367	0,023527346	0,016640342	0,0059853
STH	rainy 13	2013	protected	AF	0,92	3,59	5,38	0,67	3,90	2,27	9,9	7,77	5,847826087	9,74	75,33	0	33,8	31,02	2,7	7,7612	0,43	10,91	7	0,84	0,59	170,4	46,98	3,1	12,92750667	6,58135	NA	2,173344524	2,121646403	0,023545839	0,010833919	0,0059853
VER	rainy 12	2012	unprotected	S	0,88	2,83	7,97	0,36	3,22	2,45	7,36	8,21	9,056818182	23,25	37,92	21,97	46,2	29,43	2,88	6,75	0,78	5,86	7,05	3,38	2,4	242,4	17,22	4,26	8,19868	10,20997	0,4606	1,472226784	2,395581104	0,023891109	0,016227873	0,012126
VER	rainy 12	2012	unprotected	S	0,88	2,83	7,97	0,36	3,22	2,45	7,36	8,21	9,056818182	23,25	37,92	21,97	30,8	30,33	3	6,43	0,63	7,27	7,29	4,22	5	227,2	26,75	5	7,5999	9,48836	0,2917	1,373271863	1,899571572	0,025069039	0,018254972	0,007223
VER	dry 12	2012	unprotected	S	0,88	2,83	7,97	0,36	3,22	2,45	7,36	8,21	9,056818182	23,25	37,92	21,97	0,4	24,07	3,4	13,00	0,8	5,87	7,02	5,07	4,8	284,3	16,66	3,62	7,538486667	9,31947	0,5527	1,565691157	2,57301859	0,022155654	0,014150718	-0,00041676
VER	dry 12	2012	unprotected	S	0,88	2,83	7,97	0,36	3,22	2,45	7,36	8,21	9,056818182	23,25	37,92	21,97	0,8	23,87	1,7	13,00	0,85	5,47	6,65	3,94	4,8	309,4	0,47	3,14	6,878293333	8,61322	0,3992	1,525579601	2,741317632	0,022923508	0,015026098	-0,0030887
VER	rainy 13	2013	unprotected	S	0,88	2,83	7,97	0,36	3,22	2,45	7,36	8,21	9,056818182	23,25	37,92	21,97	0	29,46	2,94	7,8349	0,64	7,18	7,04	0,56	1,55	238,2	28,65	3,17	5,0666	6,60193	NA	1,721911367	2,082628812	0,028912182	0,016790749	0,0045351
VER	rainy 13	2013	unprotected	S	0,88	2,83	7,97	0,36	3,22	2,45	7,36	8,21	9,056818182	23,25	37,92	21,97	0	30,29	2,99	7,9777	0,64	7,21	7,2	0,56	1,55	180,3	15,87	2,5	5,312253333	6,87829	NA	2,04450017	2,756830995	0,027991255	0,013691002	0,0074572
